Film_title,Director,Average_rating,Genres,Total_ratings,Film_URL,,,,
The Fan,Eckhart Schmidt,3.57,"['Horror', 'Drama']",9042,https://letterboxd.com/film/the-fan-1982/,,,,
Mad Max: Fury Road,George Miller,4.18,"['Adventure', 'Science Fiction', 'Action']",1682389,https://letterboxd.com/film/mad-max-fury-road/,,,,
Suspiria,Dario Argento,3.93,['Horror'],443757,https://letterboxd.com/film/suspiria/,,,,
Lost in Translation,Sofia Coppola,3.79,"['Drama', 'Comedy', 'Romance']",1076949,https://letterboxd.com/film/lost-in-translation/,,,,
Akira,Katsuhiro Otomo,4.28,"['Animation', 'Action', 'Science Fiction']",600721,https://letterboxd.com/film/akira/,,,,
Things to Come,Mia Hansen-Løve,3.77,['Drama'],24383,https://letterboxd.com/film/things-to-come-2016/,,,,
Big Trouble in Little China,John Carpenter,3.72,"['Comedy', 'Adventure', 'Fantasy', 'Action']",183927,https://letterboxd.com/film/big-trouble-in-little-china/,,,,
Star Wars,George Lucas,4.17,"['Adventure', 'Action', 'Science Fiction']",1780203,https://letterboxd.com/film/star-wars/,,,,
The Third Man,Carol Reed,4.25,"['Mystery', 'Thriller']",152601,https://letterboxd.com/film/the-third-man/,,,,
The Big Sick,Michael Showalter,3.76,"['Drama', 'Comedy', 'Romance']",238309,https://letterboxd.com/film/the-big-sick/,,,,
Jodorowsky's Dune,Frank Pavich,3.96,['Documentary'],56507,https://letterboxd.com/film/jodorowskys-dune/,,,,
Get Out,Jordan Peele,4.15,"['Horror', 'Mystery', 'Thriller']",3121586,https://letterboxd.com/film/get-out-2017/,,,,
Lawrence of Arabia,David Lean,4.38,"['Adventure', 'War', 'History']",242207,https://letterboxd.com/film/lawrence-of-arabia/,,,,
Free Fire,Ben Wheatley,3.16,"['Action', 'Crime', 'Mystery']",81191,https://letterboxd.com/film/free-fire/,,,,
Sing Street,John Carney,4.04,"['Romance', 'Drama', 'Music', 'Comedy']",273809,https://letterboxd.com/film/sing-street/,,,,
Up,Pete Docter,4.1,"['Animation', 'Adventure', 'Family', 'Comedy']",2091274,https://letterboxd.com/film/up/,,,,
Blade Runner,Ridley Scott,4.1,"['Thriller', 'Drama', 'Science Fiction']",1095317,https://letterboxd.com/film/blade-runner/,,,,
Annie Hall,Woody Allen,4.04,"['Drama', 'Romance', 'Comedy']",273663,https://letterboxd.com/film/annie-hall/,,,,
The Truman Show,Peter Weir,4.22,"['Comedy', 'Drama']",2926289,https://letterboxd.com/film/the-truman-show/,,,,
Wonder Woman,Patty Jenkins,3.24,"['Action', 'Fantasy', 'Adventure']",946010,https://letterboxd.com/film/wonder-woman-2017/,,,,
Plan 9 from Outer Space,Edward D. Wood Jr.,2.24,"['Science Fiction', 'Horror']",35588,https://letterboxd.com/film/plan-9-from-outer-space/,,,,
Whiplash,Damien Chazelle,4.42,"['Drama', 'Music']",2963756,https://letterboxd.com/film/whiplash-2014/,,,,
Weird Science,John Hughes,3.08,"['Comedy', 'Science Fiction', 'Fantasy']",76048,https://letterboxd.com/film/weird-science/,,,,
Raw,Julia Ducournau,3.69,"['Drama', 'Horror']",375195,https://letterboxd.com/film/raw-2016/,,,,
Army of Darkness,Sam Raimi,3.71,"['Comedy', 'Horror', 'Fantasy']",251175,https://letterboxd.com/film/army-of-darkness/,,,,
Obvious Child,Gillian Robespierre,3.52,"['Comedy', 'Romance']",51165,https://letterboxd.com/film/obvious-child/,,,,
Django Unchained,Quentin Tarantino,4.3,"['Drama', 'Western']",2237306,https://letterboxd.com/film/django-unchained/,,,,
The Lost Boys,Joel Schumacher,3.66,"['Comedy', 'Thriller', 'Horror']",254656,https://letterboxd.com/film/the-lost-boys/,,,,
Star Trek II: The Wrath of Khan,Nicholas Meyer,3.93,"['Action', 'Thriller', 'Science Fiction', 'Adventure']",81593,https://letterboxd.com/film/star-trek-ii-the-wrath-of-khan/,,,,
Stand by Me,Rob Reiner,4.16,"['Drama', 'Crime']",783704,https://letterboxd.com/film/stand-by-me/,,,,
Drive,Nicolas Winding Refn,3.92,"['Thriller', 'Drama', 'Crime']",1444060,https://letterboxd.com/film/drive-2011/,,,,
The Lion King,"Roger Allers, Rob Minkoff",4.22,"['Animation', 'Family', 'Drama']",1478357,https://letterboxd.com/film/the-lion-king/,,,,
It Follows,David Robert Mitchell,3.45,"['Horror', 'Mystery']",667040,https://letterboxd.com/film/it-follows/,,,,
The Goonies,Richard Donner,3.8,"['Adventure', 'Family', 'Comedy']",463218,https://letterboxd.com/film/the-goonies/,,,,
Ant-Man,Peyton Reed,3.22,"['Adventure', 'Science Fiction', 'Action']",1227742,https://letterboxd.com/film/ant-man/,,,,
Sicario,Denis Villeneuve,3.98,"['Action', 'Thriller', 'Crime']",692373,https://letterboxd.com/film/sicario-2015/,,,,
Fantastic Planet,René Laloux,4.02,"['Animation', 'Science Fiction']",200590,https://letterboxd.com/film/fantastic-planet/,,,,
Ghostbusters,Ivan Reitman,3.75,"['Comedy', 'Fantasy']",699777,https://letterboxd.com/film/ghostbusters/,,,,
Candy,Christian Marquand,2.37,"['Fantasy', 'Comedy', 'Adventure']",5438,https://letterboxd.com/film/candy/,,,,
Scarface,Howard Hawks,3.83,"['Crime', 'Drama']",41106,https://letterboxd.com/film/scarface/,,,,
Donnie Darko,Richard Kelly,3.98,"['Fantasy', 'Mystery', 'Drama']",1563516,https://letterboxd.com/film/donnie-darko/,,,,
El Topo,Alejandro Jodorowsky,3.77,"['Western', 'Drama', 'Adventure']",53421,https://letterboxd.com/film/el-topo/,,,,
Okja,Bong Joon Ho,3.71,"['Drama', 'Science Fiction', 'Adventure']",415715,https://letterboxd.com/film/okja/,,,,
My Neighbor Totoro,Hayao Miyazaki,4.19,"['Fantasy', 'Animation', 'Family']",1349008,https://letterboxd.com/film/my-neighbor-totoro/,,,,
#Horror,Tara Subkoff,1.72,"['Thriller', 'Horror', 'Crime']",6614,https://letterboxd.com/film/horror-2015/,,,,
Breathless,Jean-Luc Godard,3.92,"['Crime', 'Drama']",218640,https://letterboxd.com/film/breathless/,,,,
Indiana Jones and the Temple of Doom,Steven Spielberg,3.65,"['Action', 'Adventure']",601135,https://letterboxd.com/film/indiana-jones-and-the-temple-of-doom/,,,,
La Dolce Vita,Federico Fellini,4.27,"['Drama', 'Comedy']",119256,https://letterboxd.com/film/la-dolce-vita/,,,,
"Synecdoche, New York",Charlie Kaufman,4.18,['Drama'],224147,https://letterboxd.com/film/synecdoche-new-york/,,,,
The King of Comedy,Martin Scorsese,4.24,"['Comedy', 'Drama']",322277,https://letterboxd.com/film/the-king-of-comedy/,,,,
A Ghost Story,David Lowery,3.77,"['Fantasy', 'Drama', 'Romance', 'Mystery']",296143,https://letterboxd.com/film/a-ghost-story-2017/,,,,
Masters of the Universe,Gary Goddard,2.51,"['Thriller', 'Adventure', 'Fantasy', 'Action', 'Science Fiction']",28151,https://letterboxd.com/film/masters-of-the-universe/,,,,
The Iron Giant,Brad Bird,4.26,"['Science Fiction', 'Animation', 'Family', 'Adventure']",500015,https://letterboxd.com/film/the-iron-giant/,,,,
